path_id,path_type,distance_m,epoch_days,subsidence_mm,source,digitised_by
S,transverse,120.0,300,-346,10.18311/jmmf/2022/32099,adarsh
S,transverse,129.9,300,-288,10.18311/jmmf/2022/32099,adarsh
S,transverse,140.0,300,-267,10.18311/jmmf/2022/32099,adarsh
S,transverse,150.1,300,-220,10.18311/jmmf/2022/32099,adarsh
S,transverse,160.0,300,-139,10.18311/jmmf/2022/32099,adarsh
S,transverse,170.0,300,-176,10.18311/jmmf/2022/32099,adarsh
S,transverse,180.0,300,-232,10.18311/jmmf/2022/32099,adarsh
S,transverse,190.0,300,-125,10.18311/jmmf/2022/32099,adarsh
S,transverse,200.0,300,-121,10.18311/jmmf/2022/32099,adarsh
S,transverse,-260.1,540,-10,10.18311/jmmf/2022/32099,adarsh
S,transverse,-250.0,540,-11,10.18311/jmmf/2022/32099,adarsh
S,transverse,-240.0,540,-28,10.18311/jmmf/2022/32099,adarsh
S,transverse,-230.1,540,-28,10.18311/jmmf/2022/32099,adarsh
S,transverse,-220.0,540,-30,10.18311/jmmf/2022/32099,adarsh
S,transverse,-210.1,540,-23,10.18311/jmmf/2022/32099,adarsh
S,transverse,-199.8,540,-53,10.18311/jmmf/2022/32099,adarsh
S,transverse,-189.9,540,-33,10.18311/jmmf/2022/32099,adarsh
S,transverse,-180.1,540,0,10.18311/jmmf/2022/32099,adarsh
S,transverse,-170.1,540,-44,10.18311/jmmf/2022/32099,adarsh
S,transverse,-160.3,540,-88,10.18311/jmmf/2022/32099,adarsh
S,transverse,-150.1,540,-86,10.18311/jmmf/2022/32099,adarsh
S,transverse,-140.1,540,-99,10.18311/jmmf/2022/32099,adarsh
S,transverse,-130.2,540,-137,10.18311/jmmf/2022/32099,adarsh
S,transverse,-120.1,540,-205,10.18311/jmmf/2022/32099,adarsh
S,transverse,-109.7,540,-238,10.18311/jmmf/2022/32099,adarsh
S,transverse,-100.1,540,-314,10.18311/jmmf/2022/32099,adarsh
S,transverse,-90.0,540,-377,10.18311/jmmf/2022/32099,adarsh
S,transverse,-79.9,540,-469,10.18311/jmmf/2022/32099,adarsh
S,transverse,-70.0,540,-613,10.18311/jmmf/2022/32099,adarsh
S,transverse,-59.9,540,-669,10.18311/jmmf/2022/32099,adarsh
S,transverse,-50.0,540,-777,10.18311/jmmf/2022/32099,adarsh
S,transverse,-41.0,540,-1039,10.18311/jmmf/2022/32099,adarsh
S,transverse,-29.8,540,-969,10.18311/jmmf/2022/32099,adarsh
S,transverse,-19.9,540,-1087,10.18311/jmmf/2022/32099,adarsh
S,transverse,-9.9,540,-1154,10.18311/jmmf/2022/32099,adarsh
S,transverse,-0.2,540,-1232,10.18311/jmmf/2022/32099,adarsh
S,transverse,9.9,540,-1206,10.18311/jmmf/2022/32099,adarsh
S,transverse,20.1,540,-1211,10.18311/jmmf/2022/32099,adarsh
S,transverse,30.0,540,-1163,10.18311/jmmf/2022/32099,adarsh
S,transverse,40.0,540,-1106,10.18311/jmmf/2022/32099,adarsh
S,transverse,50.2,540,-1033,10.18311/jmmf/2022/32099,adarsh
S,transverse,60.4,540,-931,10.18311/jmmf/2022/32099,adarsh
S,transverse,70.1,540,-909,10.18311/jmmf/2022/32099,adarsh
S,transverse,80.1,540,-757,10.18311/jmmf/2022/32099,adarsh
S,transverse,90.0,540,-614,10.18311/jmmf/2022/32099,adarsh
S,transverse,100.0,540,-525,10.18311/jmmf/2022/32099,adarsh
S,transverse,110.0,540,-468,10.18311/jmmf/2022/32099,adarsh
S,transverse,120.0,540,-351,10.18311/jmmf/2022/32099,adarsh
S,transverse,129.9,540,-300,10.18311/jmmf/2022/32099,adarsh
S,transverse,140.0,540,-270,10.18311/jmmf/2022/32099,adarsh
S,transverse,150.1,540,-229,10.18311/jmmf/2022/32099,adarsh
S,transverse,160.0,540,-139,10.18311/jmmf/2022/32099,adarsh
S,transverse,170.0,540,-177,10.18311/jmmf/2022/32099,adarsh
S,transverse,180.0,540,-232,10.18311/jmmf/2022/32099,adarsh
S,transverse,190.0,540,-132,10.18311/jmmf/2022/32099,adarsh
S,transverse,200.0,540,-108,10.18311/jmmf/2022/32099,adarsh
S,transverse,-260.1,570,-10,10.18311/jmmf/2022/32099,adarsh
S,transverse,-250.0,570,-11,10.18311/jmmf/2022/32099,adarsh
S,transverse,-240.0,570,-28,10.18311/jmmf/2022/32099,adarsh
S,transverse,-230.1,570,-28,10.18311/jmmf/2022/32099,adarsh
S,transverse,-220.0,570,-30,10.18311/jmmf/2022/32099,adarsh
S,transverse,-210.1,570,-23,10.18311/jmmf/2022/32099,adarsh
S,transverse,-199.8,570,-53,10.18311/jmmf/2022/32099,adarsh
S,transverse,-189.9,570,-33,10.18311/jmmf/2022/32099,adarsh
S,transverse,-180.1,570,0,10.18311/jmmf/2022/32099,adarsh
S,transverse,-170.1,570,-44,10.18311/jmmf/2022/32099,adarsh
S,transverse,-160.3,570,-88,10.18311/jmmf/2022/32099,adarsh
S,transverse,-150.1,570,-86,10.18311/jmmf/2022/32099,adarsh
S,transverse,-140.1,570,-99,10.18311/jmmf/2022/32099,adarsh
